No.,Headword,Group
11933,concuss,C
11934,concussed,C
11935,concussion,C
11936,condemn,C
11937,condemnation,C
11938,condemned cell,C
11939,condensation,C
11940,condense,C
11941,condensed milk,C
11942,condensed-milk,C
11943,condenser,C
11944,condescend,C
11945,condescending,C
11946,condescendingly,C
11947,condescension,C
11948,condign,C
11949,condiment,C
11950,condition,C
11951,conditional,C
11952,conditional discharge,C
11953,conditional-discharge,C
11954,conditionally,C
11955,conditioner,C
11956,conditioning,C
11957,condo,C
11958,condolence,C
11959,condom,C
11960,condominium,C
11961,condone,C
11962,condor,C
11963,conducive,C
11964,conduct,C
11965,conductance,C
11966,conduction,C
11967,conductive,C
11968,conductive education,C
11969,conductive-education,C
11970,conductivity,C
11971,conductor,C
11972,conductress,C
11973,conduit,C
11974,cone,C
11975,cone off,C
11976,cone-off,C
11977,Conestoga wagon,C
11978,confab,C
11979,confabulation,C
11980,confection,C
11981,confectioner,C
11982,confectioner-s-custard,C
11983,confectionery,C
11984,confectioner’s custard,C
11985,confectioner’s sugar,C
11986,confederacy,C
11987,confederate,C
11988,confederation,C
11989,confer,C
11990,conference,C
11991,conference call,C
11992,conference-call,C
11993,conference committee,C
11994,conference-committee,C
11995,conferencing,C
11996,conferment,C
11997,confess,C
11998,confession,C
11999,confessional,C
12000,confessor,C
12001,confetti,C
12002,confidant,C
12003,confide,C
12004,confide in,C
12005,confide-in,C
12006,confidence,C
12007,confidence trick,C
12008,confidence-trick,C
12009,confidence trickster,C
12010,confidence-trickster,C
12011,confident,C
12012,confidential,C
12013,confidentiality,C
12014,confidentially,C
12015,confidently,C
12016,confiding,C
12017,confidingly,C
12018,configuration,C
12019,configure,C
12020,confine,C
12021,confined,C
12022,confinement,C
12023,confines,C
12024,confirm,C
12025,confirmation,C
12026,confirmed,C
12027,confiscate,C
12028,confiscation,C
12029,confit,C
12030,conflagration,C
12031,conflate,C
12032,conflation,C
12033,conflict,C
12034,conflict diamond,C
12035,conflict-diamond,C
12036,conflicted,C
12037,conflicting,C
12038,confluence,C
12039,conform,C
12040,conformability,C
12041,conformable,C
12042,conformance,C
12043,conformation,C
12044,conformist,C
12045,conformity,C
12046,confound,C
12047,confounded,C
12048,confraternity,C
12049,confront,C
12050,confrontation,C
12051,confrontational,C
12052,Confucian,C
12053,Confucianism,C
12054,confusable,C
12055,confuse,C
12056,confused,C
12057,confusedly,C
12058,confusing,C
12059,confusingly,C
12060,confusion,C
12061,confute,C
12062,conga,C
12063,congeal,C
12064,congealed,C
12065,congenial,C
12066,congenital,C
12067,congenitally,C
12068,conger,C
12069,congested,C
12070,congestion,C
12071,congestion charge,C
12072,congestion-charge,C
12073,congestion charging,C
12074,congestion-charging,C
12075,conglomerate,C
12076,conglomeration,C
12077,Congo,C
12078,Congolese,C
12079,congrats,C
12080,congratulate,C
12081,congratulation,C
12082,congratulatory,C
12083,congregant,C
12084,congregate,C
12085,congregation,C
12086,congregational,C
12087,Congregationalism,C
12088,Congregationalist,C
12089,congress,C
12090,congressional,C
12091,congressional district,C
12092,congressional-district,C
12093,congressman,C
12094,congressperson,C
12095,congresswoman,C
12096,congruence,C
12097,congruent,C
12098,conic,C
12099,conical,C
12100,conic section,C
12101,conic-section,C
12102,conifer,C
12103,coniferous,C
12104,conjectural,C
12105,conjecture,C
12106,conjoin,C
12107,conjoined twin,C
12108,conjoined-twin,C
12109,conjoint,C
12110,conjointly,C
12111,conjugal,C
12112,conjugal rights,C
12113,conjugal visit,C
12114,conjugal-visit,C
12115,conjugate,C
12116,conjugation,C
12117,conjunction,C
12118,conjunctiva,C
12119,conjunctivitis,C
12120,conjure,C
12121,conjure from,C
12122,conjure-from,C
12123,conjure out of,C
12124,conjure-out-of,C
12125,conjure up,C
12126,conjure-up,C
12127,conjuring,C
12128,conjuror,C
12129,conk,C
12130,conker,C
12131,conk out,C
12132,conk-out,C
12133,conman,C
12134,con moto,C
12135,connect,C
12136,connected,C
12137,connectedness,C
12138,Connecticut,C
12139,connection,C
12140,connective,C
12141,connectivity,C
12142,connector,C
12143,connect up,C
12144,connect-up,C
12145,Connie,C
12146,conning tower,C
12147,conning-tower,C
12148,conniption,C
12149,connivance,C
12150,connive,C
12151,conniving,C
12152,connoisseur,C
12153,Connor,C
12154,connotation,C
12155,connote,C
12156,connubial,C
12157,conquer,C
12158,conqueror,C
12159,conquest,C
12160,conquistador,C
12161,consanguinity,C
12162,conscience,C
12163,conscience-stricken,C
12164,conscientious,C
12165,conscientiously,C
12166,conscientiousness,C
12167,conscientious objector,C
12168,conscientious-objector,C
12169,conscientize,C
12170,conscious,C
12171,consciously,C
12172,consciousness,C
12173,consciousness-raising,C
12174,conscript,C
12175,conscription,C
12176,consecrate,C
12177,consecration,C
12178,consecutive,C
12179,consecutively,C
12180,consensual,C
12181,consensus,C
12182,consent,C
12183,consenting adult,C
12184,consequence,C
12185,consequences,C
12186,consequent,C
12187,consequential,C
12188,consequentially,C
12189,consequently,C
12190,conservancy,C
12191,conservation,C
12192,conservation area,C
12193,conservation-area,C
12194,conservationist,C
12195,conservatism,C
12196,conservative,C
12197,conservatively,C
12198,conservatoire,C
12199,conservator,C
12200,conservatory,C
12201,conserve,C
12202,consider,C
12203,considerable,C
12204,considerably,C
12205,considerate,C
12206,considerately,C
12207,consideration,C
12208,considering,C
12209,consign,C
12210,consignment,C
12211,consignment shop,C
12212,consignment-shop,C
12213,consist,C
12214,consistency,C
12215,consistent,C
12216,consistently,C
12217,consist in,C
12218,consist-in,C
12219,consist of,C
12220,consist-of,C
12221,consolation,C
12222,consolation prize,C
12223,consolation-prize,C
12224,consolatory,C
12225,console,C
12226,console2,C
12227,consolidate,C
12228,consolidation,C
12229,consommé,C
12230,consonance,C
12231,consonant,C
12232,consonantal,C
12233,con sordino,C
12234,consort,C
12235,consortium,C
12236,conspicuous,C
12237,conspicuous consumption,C
12238,conspicuous-consumption,C
12239,conspicuously,C
12240,conspicuousness,C
12241,conspiracy,C
12242,conspiracy theorist,C
12243,conspiracy-theorist,C
12244,conspiracy theory,C
12245,conspiracy-theory,C
12246,conspirator,C
12247,conspiratorial,C
12248,conspiratorially,C
12249,conspire,C
12250,constable,C
12251,constabulary,C
12252,Constance,C
12253,constancy,C
12254,constant,C
12255,constantly,C
12256,constative,C
12257,constellate,C
12258,constellation,C
12259,consternation,C
12260,constipated,C
12261,constipation,C
12262,constituency,C
12263,constituent,C
12264,constituent assembly,C
12265,constitute,C
12266,constitution,C
12267,constitutional,C
12268,constitutionalism,C
12269,constitutionality,C
12270,constitutionally,C
12271,constitutional monarchy,C
12272,constitutional-monarchy,C
12273,constitutive,C
12274,constrain,C
12275,constrained,C
12276,constraint,C
12277,constrict,C
12278,constricted,C
12279,constriction,C
12280,construct,C
12281,construction,C
12282,constructional,C
12283,construction paper,C
12284,construction site,C
12285,construction-site,C
12286,constructive,C
12287,constructive dismissal,C
12288,constructive-dismissal,C
12289,constructively,C
12290,constructor,C
12291,construe,C
12292,consul,C
12293,consular,C
12294,consulate,C
12295,consult,C
12296,consultancy,C
12297,consultant,C
12298,consultation,C
12299,consultative,C
12300,consulting room,C
12301,consumable,C
12302,consume,C
12303,consumer,C
12304,consumer confidence,C
12305,consumer-confidence,C
12306,consumer credit,C
12307,consumer-credit,C
12308,consumer durables,C
12309,consumer-durables,C
12310,consumer economy,C
12311,consumer-economy,C
12312,consumer electronics,C
12313,consumer-electronics,C
12314,consumer goods,C
12315,consumer-goods,C
12316,consumer group,C
12317,consumer-group,C
12318,consumerism,C
12319,consumerist,C
12320,consumer price index,C
12321,consumer-price-index,C
12322,consuming,C
12323,consummate,C
12324,consummate2,C
12325,consummately,C
12326,consummation,C
12327,consumption,C
12328,consumptive,C
12329,cont.,C
12330,contact,C
12331,contactable,C
12332,contactee,C
12333,contact improvisation,C
12334,contact-improvisation,C
12335,contact lens,C
12336,contact-lens,C
12337,contactless,C
12338,contact sport,C
12339,contact-sport,C
12340,contagion,C
12341,contagious,C
12342,contagiously,C
12343,contain,C
12344,container,C
12345,containerization,C
12346,containerized,C
12347,containment,C
12348,contaminant,C
12349,contaminate,C
12350,contamination,C
12351,contd,C
12352,contemplate,C
12353,contemplation,C
12354,contemplative,C
12355,contemporaneous,C
12356,contemporaneously,C
12357,contemporary,C
12358,contempt,C
12359,contemptible,C
12360,contempt of court,C
12361,contempt-of-court,C
12362,contemptuous,C
12363,contemptuously,C
12364,contend,C
12365,contender,C
12366,contend with,C
12367,contend-with,C
12368,content,C
12369,content2_1,C
12370,content2_2,C
12371,contented,C
12372,contentedly,C
12373,content farm,C
12374,contention,C
12375,contentious,C
12376,contentment,C
12377,content mill,C
12378,content-mill,C
12379,content provider,C
12380,content-provider,C
12381,content word,C
12382,content-word,C
12383,contest,C
12384,contestant,C
12385,context,C
12386,contextual,C
12387,contextualization,C
12388,contextualize,C
12389,contextually,C
12390,contiguity,C
12391,contiguous,C
12392,continence,C
12393,continent,C
12394,continental,C
12395,continental breakfast,C
12396,continental-breakfast,C
12397,continental climate,C
12398,continental-climate,C
12399,continental drift,C
12400,continental-drift,C
12401,continental shelf,C
12402,continental-shelf,C
12403,continental slope,C
12404,contingency,C
12405,contingency fee,C
12406,contingency-fee,C
12407,contingent,C
12408,contingently,C
12409,continual,C
12410,continually,C
12411,continuance,C
12412,continuant,C
12413,continuation,C
12414,continue,C
12415,continued,C
12416,continuing education,C
12417,continuing-education,C
12418,continuity,C
12419,continuo,C
12420,continuous,C
12421,continuous assessment,C
12422,continuous-assessment,C
12423,continuously,C
12424,continuous variable,C
12425,continuum,C
12426,contort,C
12427,contorted,C
12428,contortion,C
12429,contortionist,C
12430,contour,C
12431,contoured,C
12432,contra-,C
12433,contraband,C
12434,contrabass,C
12435,contrabassoon,C
12436,contraception,C
12437,contraceptive,C
12438,contract,C
12439,contract bridge,C
12440,contract-bridge,C
12441,contractile,C
12442,contract in,C
12443,contract-in,C
12444,contraction,C
12445,contractor,C
12446,contract out,C
12447,contract-out,C
12448,contractual,C
12449,contractually,C
12450,contradict,C
12451,contradiction,C
12452,contradictory,C
12453,contradistinction,C
12454,contrafactive,C
12455,contraflow,C
12456,contrail,C
12457,contraindicate,C
12458,contraindication,C
12459,contralto,C
12460,contraption,C
12461,contrapuntal,C
12462,contrarian,C
12463,contrarily,C
12464,contrariness,C
12465,contrariwise,C
12466,contrary,C
12467,contrary2,C
12468,contrast,C
12469,contrasting,C
12470,contrastive,C
12471,contravene,C
12472,contravention,C
12473,contretemps,C
12474,contribute,C
12475,contribution,C
12476,contributor,C
12477,contributory,C
12478,contrite,C
12479,contritely,C
12480,contrition,C
12481,contrivance,C
12482,contrive,C
12483,contrived,C
12484,control,C
12485,control centre,C
12486,control-centre,C
12487,control freak,C
12488,control-freak,C
12489,controllable,C
12490,controlled,C
12491,controlled economy,C
12492,controlled-economy,C
12493,controlled experiment,C
12494,controlled-experiment,C
12495,controlled substance,C
12496,controller,C
12497,controlling interest,C
12498,controlling-interest,C
12499,control room,C
12500,control tower,C
12501,control-tower,C
12502,controversial,C
12503,controversially,C
12504,controversy,C
12505,controvert,C
12506,contumacious,C
12507,contusion,C
12508,conundrum,C
12509,conurbation,C
12510,convalesce,C
12511,convalescence,C
12512,convalescent,C
12513,convection,C
12514,convection oven,C
12515,convection-oven,C
12516,convector,C
12517,convene,C
12518,convener,C
12519,convenience,C
12520,convenience food,C
12521,convenience-food,C
12522,convenience store,C
12523,convenience-store,C
12524,convenient,C
12525,conveniently,C
12526,convenor,C
12527,convent,C
12528,convention,C
12529,conventional,C
12530,conventionality,C
12531,conventionally,C
12532,conventioneer,C
12533,converge,C
12534,convergence,C
12535,convergent,C
12536,conversant,C
12537,conversation,C
12538,conversational,C
12539,conversationalist,C
12540,conversationally,C
12541,conversation piece,C
12542,conversation-piece,C
12543,conversation stopper,C
12544,conversation-stopper,C
12545,converse,C
12546,converse1,C
12547,conversely,C
12548,conversion,C
12549,conversion van,C
12550,conversion-van,C
12551,convert,C
12552,converter,C
12553,convertibility,C
12554,convertible,C
12555,convex,C
12556,convexity,C
12557,convey,C
12558,conveyance,C
12559,conveyancer,C
12560,conveyancing,C
12561,conveyor,C
12562,conveyor belt,C
12563,conveyor-belt,C
12564,convict,C
12565,conviction,C
12566,convince,C
12567,convinced,C
12568,convincing,C
12569,convincingly,C
12570,convivial,C
12571,conviviality,C
12572,convocation,C
12573,convoke,C
12574,convoluted,C
12575,convolution,C
12576,convolvulus,C
12577,convoy,C
12578,convulse,C
12579,convulsion,C
12580,convulsive,C
12581,convulsively,C
12582,coo,C
12583,co-occur,C
12584,co-occurrence,C
12585,cooee,C
12586,cook,C
12587,cookbook,C
12588,cook-chill,C
12589,cooker,C
12590,cookery,C
12591,cookery book,C
12592,cookery-book,C
12593,Cookham,C
12594,cookhouse,C
12595,cookie,C
12596,cookie cutter,C
12597,cookie-cutter,C
12598,cookie jar,C
12599,cookie-jar,C
12600,cookie sheet,C
12601,cooking,C
12602,cooking apple,C
12603,cooking-apple,C
12604,cooking gas,C
12605,cookout,C
12606,cookshop,C
12607,cook up,C
12608,cook-up,C
12609,cookware,C
12610,cool,C
12611,coolabah,C
12612,coolant,C
12613,cool bag,C
12614,cool-bag,C
12615,cool box,C
12616,cool-box,C
12617,cool down,C
12618,cool-down,C
12619,cooldrink,C
12620,cooler,C
12621,cool-headed,C
12622,cool hunter,C
12623,coolibah,C
12624,coolie,C
12625,cooling centre,C
12626,cooling-off period,C
12627,cooling-off-period,C
12628,cooling tower,C
12629,cooling-tower,C
12630,coolly,C
12631,coolness,C
12632,cool off,C
12633,cool-off,C
12634,cool out,C
12635,cool-out,C
12636,coon,C
12637,coonskin,C
12638,coop,C
12639,co-op,C
12640,cooper,C
12641,cooperate,C
12642,cooperation,C
12643,cooperative,C
12644,cooperatively,C
12645,co-opt,C
12646,coop up,C
12647,coop-up,C
12648,coordinate,C
12649,coordinate clause,C
12650,coordinate-clause,C
12651,coordinating conjunction,C
12652,coordinating-conjunction,C
12653,coordination,C
12654,coordinator,C
12655,Coors™,C
12656,coot,C
12657,cop,C
12658,co-parent,C
12659,cope,C
12660,Copernican system,C
12661,copier,C
12662,co-pilot,C
12663,coping,C
12664,coping saw,C
12665,coping-saw,C
12666,copious,C
12667,copiously,C
12668,cop off,C
12669,cop-off,C
12670,cop out,C
12671,cop-out,C
12672,copper,C
12673,copper beech,C
12674,copper-beech,C
12675,copper-bottomed,C
12676,copperhead,C
12677,copperplate,C
12678,copper sulphate,C
12679,coppery,C
12680,coppice,C
12681,copra,C
12682,copse,C
12683,cop shop,C
12684,cop-shop,C
12685,copter,C
12686,copula,C
12687,copulate,C
12688,copulation,C
12689,copy,C
12690,copybook,C
12691,copycat,C
12692,copy-edit,C
12693,copy editor,C
12694,copy-editor,C
12695,copy in,C
12696,copy-in,C
12697,copyist,C
12698,copyright,C
12699,copyright library,C
12700,copyright-library,C
12701,copy typist,C
12702,copywriter,C
12703,coq au vin,C
12704,coq-au-vin,C
12705,coquetry,C
12706,coquette,C
12707,coquettish,C
12708,coquettishly,C
12709,cor,C
12710,coracle,C
12711,coral,C
12712,coral snake,C
12713,coral-snake,C
12714,cor anglais,C
12715,cor-anglais,C
12716,corbel,C
12717,cor blimey,C
12718,cord,C
12719,corded,C
12720,cordial,C
12721,cordiality,C
12722,cordially,C
12723,cordite,C
12724,cordless,C
12725,cordon,C
12726,cordon bleu,C
12727,cordon off,C
12728,cordon-off,C
12729,corduroy,C
12730,core,C
12731,coreferential,C
12732,co-respondent,C
12733,corgi,C
12734,coriander,C
12735,Corinthian,C
12736,Coriolanus,C
12737,cork,C
12738,corkage,C
12739,corked,C
12740,corker,C
12741,corkscrew,C
12742,corm,C
12743,cormorant,C
12744,corn,C
12745,corn beef,C
12746,cornbread,C
12747,corn chip,C
12748,corn-chip,C
12749,corn circle,C
12750,corncob,C
12751,corncrake,C
12752,corn dog,C
12753,corn-dog,C
12754,corn dolly,C
12755,corn-dolly,C
12756,cornea,C
12757,corneal,C
12758,corned beef,C
12759,corned-beef,C
12760,cornelian,C
12761,corner,C
12762,cornerback,C
12763,corner kick,C
12764,corner-kick,C
12765,corner shop,C
12766,corner-shop,C
12767,cornerstone,C
12768,cornet,C
12769,cornetto,C
12770,Cornetto™,C
12771,corn exchange,C
12772,corn-exchange,C
12773,corn-fed,C
12774,cornfield,C
12775,cornflakes,C
12776,cornflour,C
12777,cornflower,C
12778,cornhusk doll,C
12779,cornhusk-doll,C
12780,cornice,C
12781,Cornish,C
12782,Cornish pasty,C
12783,cornmeal,C
12784,corn oil,C
12785,corn-oil,C
12786,corn on the cob,C
12787,corn-on-the-cob,C
12788,corn pone,C
12789,corn-pone,C
12790,cornrows,C
12791,cornstarch,C
12792,corn syrup,C
12793,corn-syrup,C
12794,cornucopia,C
12795,Cornwall,C
12796,corny,C
12797,corolla,C
12798,corollary,C
12799,corona,C
12800,coronary,C
12801,coronary artery,C
12802,coronary-artery,C
12803,coronary thrombosis,C
12804,coronary-thrombosis,C
12805,coronation,C
12806,coronation chicken,C
12807,coronation-chicken,C
12808,coroner,C
12809,coronet,C
12810,Corp.,C
12811,corpora,C
12812,corporal,C
12813,corporal punishment,C
12814,corporal-punishment,C
12815,corporate,C
12816,corporate raider,C
12817,corporate responsibility,C
12818,corporate-responsibility,C
12819,corporate welfare,C
12820,corporate-welfare,C
12821,corporation,C
12822,corporation tax,C
12823,corporation-tax,C
12824,corporatism,C
12825,corporator,C
12826,corporeal,C
12827,corps,C
12828,corps de ballet,C
12829,corpse,C
12830,corpsman,C
12831,corpulence,C
12832,corpulent,C
12833,corpus,C
12834,corpuscle,C
12835,corpus delicti,C
12836,corral,C
12837,correct,C
12838,correction,C
12839,correctional,C
12840,correction fluid,C
12841,correction-fluid,C
12842,corrective,C
12843,correctly,C
12844,correctness,C
12845,correlate,C
12846,correlation,C
12847,correlative,C
12848,correspond,C
12849,correspondence,C
12850,correspondence course,C
12851,correspondence-course,C
12852,correspondent,C
12853,corresponding,C
12854,corresponding angles,C
12855,corresponding-angles,C
12856,correspondingly,C
12857,corridor,C
12858,corrie,C
12859,corrigendum,C
12860,corroborate,C
12861,corroboration,C
12862,corroborative,C
12863,corrode,C
12864,corrosion,C
12865,corrosive,C
12866,corrugated,C
12867,corrupt,C
12868,corruptible,C
12869,corruption,C
12870,corruptly,C
12871,corsage,C
12872,corsair,C
12873,corselette,C
12874,corset,C
12875,cortex,C
12876,cortical,C
12877,cortisone,C
12878,cortège,C
12879,corundum,C
12880,coruscate,C
12881,coruscating,C
12882,coruscatingly,C
12883,corvette,C
12884,cos,C
12885,cos1,C
12886,cos2,C
12887,COSATU,C
12888,cosh,C
12889,co-sign,C
12890,co-signatory,C
12891,cosily,C
12892,cosine,C
12893,cosiness,C
12894,cos lettuce,C
12895,cos-lettuce,C
12896,cosmetic,C
12897,cosmetically,C
12898,cosmic,C
12899,cosmic dust,C
12900,cosmic-dust,C
12901,cosmic rays,C
12902,cosmic-rays,C
12903,cosmogony,C
12904,cosmography,C
12905,cosmological,C
12906,cosmologist,C
12907,cosmology,C
12908,cosmonaut,C
12909,cosmopolitan,C
12910,cosmos,C
12911,cosplay,C
12912,cosplayer,C
12913,cosset,C
12914,cost,C
12915,cost accounting,C
12916,costal,C
12917,co-star,C
12918,cost-benefit,C
12919,cost centre,C
12920,cost-centre,C
12921,Costco,C
12922,cost-cutting,C
12923,cost-effective,C
12924,cost-effectively,C
12925,cost-effectiveness,C
12926,cost-efficiency,C
12927,cost-efficient,C
12928,cost-efficiently,C
12929,costermonger,C
12930,costing,C
12931,costliness,C
12932,costly,C
12933,cost price,C
12934,cost-price,C
12935,costume,C
12936,costumed,C
12937,costume drama,C
12938,costume-drama,C
12939,costume jewellery,C
12940,costume-jewellery,C
12941,costume party,C
12942,costume-party,C
12943,costumer,C
12944,costumier,C
12945,cost–benefit,C
12946,cosy,C
12947,cosy up to,C
12948,cosy-up-to,C
12949,cot,C
12950,cot death,C
12951,cot-death,C
12952,coterie,C
12953,coterminous,C
12954,cottage,C
12955,cottage cheese,C
12956,cottage-cheese,C
12957,cottage hospital,C
12958,cottage-hospital,C
12959,cottage industry,C
12960,cottage-industry,C
12961,cottage loaf,C
12962,cottage-loaf,C
12963,cottage pie,C
12964,cottage-pie,C
12965,cottager,C
12966,cottaging,C
12967,cotter pin,C
12968,cotter-pin,C
12969,cotton,C
12970,cotton bud,C
12971,cotton-bud,C
12972,cotton candy,C
12973,cotton-candy,C
12974,cotton gin,C
12975,cotton-gin,C
12976,cottonmouth,C
12977,cotton on,C
12978,cotton-on,C
12979,cotton swab,C
12980,cotton-swab,C
12981,cottontail,C
12982,cotton to,C
12983,cotton-to,C
12984,cottonwood,C
12985,cotton wool,C
12986,cotton-wool,C
12987,couch,C
12988,couchette,C
12989,couch potato,C
12990,couch-potato,C
12991,cougar,C
12992,cough,C
12993,coughing,C
12994,cough mixture,C
12995,cough-mixture,C
12996,cough up,C
12997,cough-up,C
12998,could,C
12999,coulis,C
13000,coulomb,C
13001,council,C
13002,council area,C
13003,council-area,C
13004,council chamber,C
13005,council-chamber,C
13006,council estate,C
13007,council-estate,C
13008,council flat,C
13009,council-flat,C
13010,council house,C
13011,council-house,C
13012,councillor,C
13013,councilman,C
13014,council of war,C
13015,council-of-war,C
13016,council tax,C
13017,council-tax,C
13018,councilwoman,C
13019,counsel,C
13020,counselling,C
13021,counsellor,C
13022,count,C
13023,countable,C
13024,count against,C
13025,count-against,C
13026,count-basie,C
13027,count down,C
13028,countdown,C
13029,count-down,C
13030,countenance,C
13031,counter,C
13032,counter-,C
13033,counteract,C
13034,counterargument,C
13035,counter-attack,C
13036,counterbalance,C
13037,counterblast,C
13038,counterclaim,C
13039,counterclockwise,C
13040,counterculture,C
13041,counter-espionage,C
13042,counterexample,C
13043,counterfactual,C
13044,counterfeit,C
13045,counterfeiter,C
13046,counterfeiting,C
13047,counterfoil,C
13048,counter-insurgency,C
13049,counter-intelligence,C
13050,counter-intuitive,C
13051,counter-intuitively,C
13052,countermand,C
13053,countermeasure,C
13054,counteroffensive,C
13055,counterpane,C
13056,counterpart,C
13057,counterpoint,C
13058,counterproductive,C
13059,counter-revolution,C
13060,counter-revolutionary,C
13061,countersign,C
13062,countersubject,C
13063,countersunk,C
13064,countertenor,C
13065,counterterrorism,C
13066,counterterrorist,C
13067,countertop,C
13068,countervailing,C
13069,counterweight,C
13070,countess,C
13071,count in,C
13072,count-in,C
13073,countless,C
13074,count noun,C
13075,count-noun,C
13076,count on,C
13077,count-on,C
13078,count out,C
13079,count-out,C
13080,countrified,C
13081,country,C
13082,country and western,C
13083,country-and-western,C
13084,country bumpkin,C
13085,country-bumpkin,C
13086,country club,C
13087,country-club,C
13088,country cousin,C
13089,country-cousin,C
13090,country dance,C
13091,country-dance,C
13092,country dancing,C
13093,country-dancing,C
13094,country house,C
13095,country-house,C
13096,countrymade,C
13097,countryman,C
13098,country mile,C
13099,country-mile,C
13100,country music,C
13101,country-music,C
13102,country park,C
13103,country-park,C
13104,country seat,C
13105,countryside,C
13106,countrywide,C
13107,countrywoman,C
13108,count toward,C
13109,count-toward,C
13110,count towards,C
13111,count-towards,C
13112,county,C
13113,county clerk,C
13114,county-clerk,C
13115,county council,C
13116,county-council,C
13117,county councillor,C
13118,county court,C
13119,county-court,C
13120,county town,C
13121,county-town,C
13122,countywide,C
13123,coup,C
13124,coup-de-grace,C
13125,coup de grâce,C
13126,coup-de-theatre,C
13127,coup de théâtre,C
13128,coup d’état,C
13129,coupe,C
13130,couple,C
13131,coupled with,C
13132,coupled-with,C
13133,couplet,C
13134,coupling,C
13135,coupon,C
13136,couponing,C
13137,coupé,C
13138,courage,C
13139,courageous,C
13140,courageously,C
13141,courgette,C
13142,courier,C
13143,course,C
13144,coursebook,C
13145,course of action,C
13146,courseware,C
13147,coursework,C
13148,coursing,C
13149,court,C
13150,court card,C
13151,court costs,C
13152,courteous,C
13153,courteously,C
13154,courtesan,C
13155,courtesy,C
13156,courtesy call,C
13157,courtesy-call,C
13158,courtesy light,C
13159,courtesy title,C
13160,courthouse,C
13161,courtier,C
13162,courtly,C
13163,courtly love,C
13164,courtly-love,C
13165,court martial,C
13166,court-martial,C
13167,court of appeal,C
13168,court-of-appeal,C
13169,court of claims,C
13170,court of inquiry,C
13171,court of law,C
13172,court order,C
13173,court-order,C
13174,court reporter,C
13175,court-reporter,C
13176,courtroom,C
13177,courtship,C
13178,court shoe,C
13179,court-shoe,C
13180,court tennis,C
13181,court-tennis,C
13182,courtyard,C
13183,couscous,C
13184,cousin,C
13185,cousin brother,C
13186,cousin sister,C
13187,cousin-sister,C
13188,Coutts,C
13189,couture,C
13190,couturier,C
13191,covalent,C
13192,covariant,C
13193,cove,C
13194,coven,C
13195,covenant,C
13196,Covenanter,C
13197,Coventry,C
13198,cover,C
13199,coverage,C
13200,coverall,C
13201,cover charge,C
13202,cover-charge,C
13203,covered,C
13204,covered wagon,C
13205,covered-wagon,C
13206,cover girl,C
13207,cover-girl,C
13208,cover in,C
13209,cover-in,C
13210,covering,C
13211,covering letter,C
13212,covering-letter,C
13213,coverlet,C
13214,cover letter,C
13215,cover over,C
13216,cover-over,C
13217,cover story,C
13218,cover-story,C
13219,covert,C
13220,covertly,C
13221,cover up,C
13222,cover-up,C
13223,cover version,C
13224,cover-version,C
13225,cover yourself up,C
13226,cover-yourself-up,C
13227,covet,C
13228,covetous,C
13229,covetousness,C
13230,covey,C
13231,cow,C
13232,coward,C
13233,cowardice,C
13234,cowardly,C
13235,coward punch,C
13236,cowbell,C
13237,cowboy,C
13238,cowboy boot,C
13239,cowboy-boot,C
13240,cowboy hat,C
13241,cowboy-hat,C
13242,cowboys and Indians,C
13243,cowcatcher,C
13244,cow chip,C
13245,cow-chip,C
13246,cowed,C
13247,cower,C
13248,Cowes,C
13249,cowgirl,C
13250,cowhand,C
13251,cowhide,C
13252,co-wife,C
13253,cowl,C
13254,cowlick,C
13255,cowling,C
13256,cowl neck,C
13257,cowl-neck,C
13258,co-worker,C
13259,cow parsley,C
13260,cow-parsley,C
13261,cowpat,C
13262,cowpea,C
13263,cow pie,C
13264,cow-pie,C
13265,cowpoke,C
13266,cowpox,C
13267,cowrie,C
13268,cowshed,C
13269,cowslip,C
13270,cox,C
13271,Cox's orange pippin,C
13272,coxswain,C
13273,coy,C
13274,coyly,C
13275,coyness,C
13276,coyote,C
13277,coypu,C
13278,coz,C
13279,cozily,C
13280,coziness,C
13281,cozy,C
13282,cozy up to,C
13283,cozy-up-to,C
13284,cp.,C
13285,CPA,C
13286,CPE,C
13287,CPI,C
13288,Cpl,C
13289,CPP,C
13290,CPR,C
13291,CPU,C
13292,CRA,C
13293,crab,C
13294,crab apple,C
13295,crab-apple,C
13296,crabbed,C
13297,crabby,C
13298,crabgrass,C
13299,crab stick,C
13300,crab-stick,C
13301,crabwise,C
13302,crack,C
13303,crackbrained,C
13304,crack down,C
13305,crackdown,C
13306,crack-down,C
13307,cracked,C
13308,cracked wheat,C
13309,cracked-wheat,C
13310,cracker,C
13311,cracker-barrel philosophy,C
13312,cracker-barrel-philosophy,C
13313,crackerjack,C
13314,crackers,C
13315,crackhead,C
13316,crack house,C
13317,cracking,C
13318,crackle,C
13319,crackling,C
13320,crackly,C
13321,cracknel,C
13322,crack on,C
13323,crack-on,C
13324,crack on to,C
13325,crack-on-to,C
13326,crackpot,C
13327,crack up,C
13328,crack-up,C
13329,-cracy,C
13330,cradle,C
13331,cradle cap,C
13332,cradle-cap,C
13333,cradle-snatcher,C
13334,cradle-snatching,C
13335,craft,C
13336,craft beer,C
13337,craft-beer,C
13338,craftily,C
13339,craftiness,C
13340,craft knife,C
13341,craft-knife,C
13342,craftsman,C
13343,craftsmanship,C
